"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP7,JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";2;"Jumper_NC_Small";;;
2;"JP4";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"Jumper_NC_Dual";;;
3;"JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_NO_Small";;;
4;"D16,D15,D14,D13,D12,D11,D10,D9";"D_SMB";8;"D_Schottky_Small";;;
5;"U8";"MSOP-10_3x3mm_P0.5mm";1;"MCP4728";;;
6;"U7,U6";"SOIC-16_3.9x9.9mm_P1.27mm";2;"L272D";;;
7;"U5";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"LT1054xSW";;;
8;"U4";"TSSOP-14_4.4x5mm_P0.65mm";1;"MCP4661-104E_ST";;;
9;"U3";"TQFP-48_7x7mm_P0.5mm";1;"ATmega4809-A";;;
10;"U2";"PLCC-44_16.6x16.6mm_P1.27mm";1;"MT8816AP";;;
11;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"MCP2221A-I_SL";;;
12;"SW1";"SW_SPST_PTS645";1;"SW_Push";;;
13;"R19,R18";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"14K";;;
14;"R17,R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"56.2K";;;
15;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100K";;;
16;"R13,R8,R6,R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"10K";;;
17;"R12,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"6.04K";;;
18;"R11,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1K";;;
19;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100R";;;
20;"R5,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"220R";;;
21;"Q4,Q2,Q1";"SOT-23";3;"Q_PNP_BCE";;;
22;"Q3";"SOT-23";1;"Q_NMOS_GSD";;;
23;"J8,J6";"PinHeader_2x02_P2.54mm_Horizontal";2;"Conn_01x04_Male";;;
24;"J7,J5";"PinHeader_2x02_P2.54mm_Horizontal";2;"Conn_01x04_Female";;;
25;"J4";"AMPHENOL_10033526-N3212LF";1;"USB_B_Mini";;;
26;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"UPDI";;;
27;"J2";"PinHeader_1x18_P2.54mm_Vertical";1;"Chip_Select_Measurement";;;
28;"J1";"PinHeader_1x18_P2.54mm_Vertical";1;"Address_Control_Power";;;
29;"D8,D7,D6,D5,D4";"D_SOD-123";5;"1N4001";;;
30;"D3";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"USB";;;
31;"D2";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"Tx";;;
32;"D1";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"Rx";;;
33;"C9,C5,C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"100uF";;;
34;"C8,C4,C3";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";3;"10uF";;;
35;"C7,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10uF";;;
36;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
